Reference, Value, Manufacturer,Manufacturer P/N, Mouser Part Number, Footprint
C1,2.2uF,Kemet,T491C225K035AT,80-T491C225K035,Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder
C2,1uF,Kemet,T491C105K050AT,80-T491C105K050,Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder
D1,Red LED,Wurth,150080SS75000,710-150080SS75000,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
D2,Red LED,Wurth,150080SS75000,710-150080SS75000,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
D3,Red LED,Wurth,150080SS75000,710-150080SS75000,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
D4,Green LED (pwr_ok),Wurth,150080VS75000,710-150080VS75000,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
J1,09-48-1064,Molex,09-48-1064,538-09-48-1064,proprietary
J2,09-48-1064,Molex,09-48-1064,538-09-48-1064,proprietary
J3,87427-2402,Molex,87427-2402,538-87427-2402,proprietary
J4,PWR_SW,TE Connectivity,5-146280-2,571-5-146280-2,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
R1,330,Bourns,CR0805-FX-3300ELF,652-CR0805FX-3300ELF,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R2,330,Bourns,CR0805-FX-3300ELF,652-CR0805FX-3300ELF,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R3,1k,Bourns,CR0805-FX-1001ELF,652-CR0805FX-1001ELF,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R4,330,Bourns,CR0805-FX-3300ELF,652-CR0805FX-3300ELF,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
U1,L7905,STMicroelectronics,L7905CV,511-L7905CV,Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown
